Title,Year,Interval,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Fantasy,History,Holiday,Horror,Kids,Lgbtq+,Mystery,Romance,Sci-fi,War,family,thriller
The Mother,2015,720,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
M3GAN,2022,6120,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
The Batman,2022,10560,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Choice,2016,6660,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Puss in Boots: The Last Wish,2022,6120,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
The Menu,2022,6420,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
Shooting Stars,1983,5760,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cocaine Bear,2023,5700,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Avengers: Endgame,2019,10860,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emily the Criminal,2022,5820,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Chevalier,2015,6240,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Extraction,2013,6360,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interstellar,2014,9900,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
To Catch a Killer,1992,5700,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Black Adam,2022,7500,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Son,2022,7440,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tiptoes,2003,5460,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
White Men Can't Jump,1992,6840,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dune,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Infinity Pool,2020,1740,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Nope,2022,8100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Prisoners,1975,4920,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Marvel's the Avengers,2012,8580,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Woman King,2022,8100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIxed by Erry,2023,6600,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghosted,2011,6120,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Attachment,2022,6300,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Malum,2023,5520,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
